"","day","pft","date","dbh","N_co","SMP","NPP","FSDS","water_def","H20_mort_rate","e_frac","c_repro","light"
"548",136,"latedt",2003-05-17 11:30:00,500,800,-4658.90250651042,1.45637987470764,21878640.2073696,1683147.23190104,0.000677266386169704,0.0939424887937405,342.039875147878,0.656359206221089
"549",137,"earlydi",2003-05-18 11:30:00,500,800,-6225.55346679688,1.62362109840615,15237359.9807739,1683147.23190104,0.00066390807480541,0.0601259160195923,244.054264526016,0.457120799423218
"550",137,"earlydt",2003-05-18 11:30:00,500,800,-6225.55346679688,1.62362109840615,15237359.9807739,1680281.15130208,0.000676113129928695,0.072322415421456,293.560498914925,0.457120799423218
"551",137,"latedi",2003-05-18 11:30:00,500,800,-6225.55346679688,1.62362109840615,15237359.9807739,1667737.71132812,0.000657829875023871,0.0941061453349794,381.981807638869,0.457120799423218
"552",137,"latedt",2003-05-18 11:30:00,500,800,-6225.55346679688,1.62362109840615,15237359.9807739,1649425.46276042,0.000663697388586929,0.0939424887937405,381.31751710575,0.457120799423218
"553",138,"earlydi",2003-05-19 11:30:00,500,800,-4287.63197835286,1.70445953845046,13887719.934082,1622623.59440104,0.000640034862235966,0.0601259160195923,256.205477669164,0.416631598022461
"554",138,"earlydt",2003-05-19 11:30:00,500,800,-4287.63197835286,1.70445953845046,13887719.934082,1622623.59440104,0.000652912827270895,0.072322415421456,308.176577022194,0.416631598022461
"555",138,"latedi",2003-05-19 11:30:00,500,800,-4287.63197835286,1.70445953845046,13887719.934082,1622623.59440104,0.000640034862235966,0.0941061453349794,401.000292607528,0.416631598022461
"556",138,"latedt",2003-05-19 11:30:00,500,800,-4287.63197835286,1.70445953845046,13887719.934082,1622623.59440104,0.000652912827270895,0.0939424887937405,400.302927725667,0.416631598022461
"557",139,"earlydi",2003-05-20 11:30:00,500,800,-1085.26059214274,1.68262407496513,18971280.043602,1622623.59440104,0.000640034862235966,0.0601259160195923,252.923284559745,0.56913840130806
"558",139,"earlydt",2003-05-20 11:30:00,500,800,-1085.26059214274,1.68262407496513,18971280.043602,1622623.59440104,0.000652912827270895,0.072322415421456,304.228593369429,0.56913840130806
"559",139,"latedi",2003-05-20 11:30:00,500,800,-1085.26059214274,1.68262407496513,18971280.043602,1622623.59440104,0.000640034862235966,0.0941061453349794,395.86316435701,0.56913840130806
"560",139,"latedt",2003-05-20 11:30:00,500,800,-1085.26059214274,1.68262407496513,18971280.043602,1622623.59440104,0.000652912827270895,0.0939424887937405,395.174733266225,0.56913840130806
