yr,month,rain,run
2133,06,283.6519887903705,analy_dry75
2133,07,159.9427878507413,analy_dry75
2133,08,307.50462419819087,analy_dry75
2133,09,173.16958350129426,analy_dry75
2133,10,216.47740406915545,analy_dry75
2133,11,369.49787638150156,analy_dry75
2133,12,318.41562101617455,analy_dry75
2134,01,8.875708394043613,analy_dry75
2134,02,9.336729360802565,analy_dry75
2134,03,8.178149694140302,analy_dry75
2134,04,22.03759342082776,analy_dry75
2134,05,128.9803046034649,analy_dry75
2134,06,304.35140000190586,analy_dry75
2134,07,241.70933633577079,analy_dry75
2134,08,484.5287438482046,analy_dry75
2134,09,95.98369124578312,analy_dry75
2134,10,383.0603807698935,analy_dry75
2134,11,406.2462563160807,analy_dry75
2134,12,83.27663855161518,analy_dry75
2135,01,11.233395303133875,analy_dry75
2135,02,13.62172088411171,analy_dry75
2135,03,1.7701415035844548,analy_dry75
2135,04,7.342419170890935,analy_dry75
2135,05,136.53092058375478,analy_dry75
2135,06,185.7151689939201,analy_dry75
2135,07,267.2814108431339,analy_dry75
2135,08,183.56463750824332,analy_dry75
2135,09,116.39366779709235,analy_dry75
2135,10,114.71922631608322,analy_dry75
2135,11,503.02574671804905,analy_dry75
2135,12,58.32471366156824,analy_dry75
2136,01,4.250338947895216,analy_dry75
2136,02,15.062939406197984,analy_dry75
2136,03,16.301309336267877,analy_dry75
2136,04,32.26842024887446,analy_dry75
2136,05,173.93395837862045,analy_dry75
2136,06,320.34860879648477,analy_dry75
2136,07,368.209490692243,analy_dry75
2136,08,365.94924218952656,analy_dry75
2136,09,247.73053997196257,analy_dry75
2136,10,332.3666366748512,analy_dry75
2136,11,543.3909296058118,analy_dry75
2136,12,924.9038522131741,analy_dry75
2137,01,22.714316484052688,analy_dry75
2137,02,7.8641097017680295,analy_dry75
2137,03,10.078303366026375,analy_dry75
2137,04,13.511919825396035,analy_dry75
2137,05,228.55829999316484,analy_dry75
2137,06,296.98309355881065,analy_dry75
2137,07,336.47702978923917,analy_dry75
2137,08,169.34357767459005,analy_dry75
2137,09,212.51172828488052,analy_dry75
2137,10,284.94292739778757,analy_dry75
2137,11,643.8181308098137,analy_dry75
2137,12,489.67920751310885,analy_dry75
2138,01,2.287683237955207,analy_dry75
2138,02,0.48994991580002534,analy_dry75
2138,03,4.630369012375013,analy_dry75
2138,04,43.232962576439604,analy_dry75
2138,05,252.93026911094785,analy_dry75
2138,06,275.4362889099866,analy_dry75
2138,07,336.346850451082,analy_dry75
2138,08,141.15125422831625,analy_dry75
2138,09,168.17810232751071,analy_dry75
2138,10,294.32363491505384,analy_dry75
2138,11,854.0151223540306,analy_dry75
2138,12,468.17779024131596,analy_dry75
2139,01,3.167753053276101,analy_dry75
2139,02,16.43961757508805,analy_dry75
2139,03,12.36598843097454,analy_dry75
2139,04,15.940440469421446,analy_dry75
2139,05,202.8562020510435,analy_dry75
2139,06,186.79010344203562,analy_dry75
2139,07,398.16184658557177,analy_dry75
2139,08,293.0534704355523,analy_dry75
2139,09,227.50657566357404,analy_dry75
2139,10,244.31952950544655,analy_dry75
2139,11,176.62112885154784,analy_dry75
2139,12,146.76166215213016,analy_dry75
2140,01,5.197914934979053,analy_dry75
2140,02,3.052140634463285,analy_dry75
2140,03,6.603027204255341,analy_dry75
2140,04,11.734437159611844,analy_dry75
2140,05,270.99169737193733,analy_dry75
2140,06,283.6519887903705,analy_dry75
2140,07,159.9427878507413,analy_dry75
2140,08,307.50462419819087,analy_dry75
2140,09,173.16958350129426,analy_dry75
2140,10,216.47740406915545,analy_dry75
2140,11,369.49787638150156,analy_dry75
2140,12,318.41562101617455,analy_dry75
2141,01,8.875708394043613,analy_dry75
2141,02,9.336729360802565,analy_dry75
2141,03,8.178149694140302,analy_dry75
2141,04,22.03759342082776,analy_dry75
2141,05,128.9803046034649,analy_dry75
2141,06,304.35140000190586,analy_dry75
2141,07,241.70933633577079,analy_dry75
2141,08,484.5287438482046,analy_dry75
2141,09,95.98369124578312,analy_dry75
2141,10,383.0603807698935,analy_dry75
